role,permission(action),description
Microsoft 365 Backup Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Microsoft 365 Migration Administrator,microsoft.office365.migrations/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft 365 migrations"
Microsoft 365 Migration Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Microsoft 365 Migration Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Microsoft Entra Joined Device Local Administrator,microsoft.directory/groupSettings/standard/read,"Read basic properties on group settings"
Microsoft Entra Joined Device Local Administrator,microsoft.directory/groupSettingTemplates/standard/read,"Read basic properties on group setting templates"
Microsoft Graph Data Connect Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Microsoft Graph Data Connect Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Microsoft Graph Data Connect Administrator,microsoft.graph.dataConnect/allEntities/allProperties/allTasks,"Manage aspects of Microsoft Graph Data Connect"
Microsoft Graph Data Connect Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Microsoft Graph Data Connect Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Microsoft Graph Data Connect Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Microsoft Graph Data Connect Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Microsoft Hardware Warranty Administrator,microsoft.hardware.support/shippingAddress/allProperties/allTasks,"Create, read, update, and delete shipping addresses for Microsoft hardware warranty claims, including shipping addresses created by others"
Microsoft Hardware Warranty Administrator,microsoft.hardware.support/shippingStatus/allProperties/read,"Read shipping status for open Microsoft hardware warranty claims"
Microsoft Hardware Warranty Administrator,microsoft.hardware.support/warrantyClaims/allProperties/allTasks,"Create and manage all aspects of Microsoft hardware warranty claims"
Microsoft Hardware Warranty Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Microsoft Hardware Warranty Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Microsoft Hardware Warranty Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/shippingAddress/allProperties/read,"Read shipping addresses for Microsoft hardware warranty claims, including existing shipping addresses created by others"
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/shippingStatus/allProperties/read,"Read shipping status for open Microsoft hardware warranty claims"
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/warrantyClaims/allProperties/read,"Read Microsoft hardware warranty claims"
Microsoft Hardware Warranty Specialist,microsoft.hardware.support/warrantyClaims/createAsOwner,"Create Microsoft hardware warranty claims where creator is the owner"
Microsoft Hardware Warranty Specialist,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Microsoft Hardware Warranty Specialist,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Network Administrator,microsoft.office365.network/locations/allProperties/allTasks,"Manage all aspects of network locations"
Network Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
Network Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Office Apps Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Office Apps Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Office Apps Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Office Apps Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Office Apps Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Office Apps Administrator,microsoft.office365.userCommunication/allEntities/allTasks,"Read and update what's new messages visibility"
Office Apps Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Organizational Branding Administrator,microsoft.directory/loginOrganizationBranding/allProperties/allTasks,"Create and delete loginTenantBranding, and read and update all properties"
Organizational Data Source Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Organizational Data Source Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Organizational Data Source Administrator,microsoft.microsoft365.organizationalData/allEntities/allProperties/allTasks,"Manage all aspects of organizational data in Microsoft 365"
Organizational Data Source Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Organizational Data Source Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Organizational Data Source Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Organizational Data Source Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Organizational Messages Approver,microsoft.office365.organizationalMessages/allEntities/allProperties/read,"Read all aspects of Microsoft 365 Organizational Messages"
Organizational Messages Approver,microsoft.office365.organizationalMessages/allEntities/allProperties/update,"Approve or reject new organizational messages for delivery in the Microsoft 365 admin center"
Organizational Messages Approver,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Organizational Messages Writer,microsoft.office365.organizationalMessages/allEntities/allProperties/allTasks,"Manage all authoring aspects of Microsoft 365 Organizational Messages"
Organizational Messages Writer,microsoft.office365.usageReports/allEntities/standard/read,"Read tenant-level aggregated Office 365 usage reports"
Organizational Messages Writer,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Partner Tier1 Support,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
